measuring location,id,datetime,S3 location,IP address,network latency,1kb (retrieval latency),10kb,100kb,1mb,10mb
home,177,16.11-15.00,frankfurt,54.230.98.24,45,.035326,.027684,.027335,.029711,.026522,
home,178,16.11-16.00,frankfurt,54.230.99.21,50,.042016,.046445,.037895,.072275,.028045,
home,179,16.11-17.00,frankfurt,54.230.99.41,40,.030797,.028771,.029900,.035765,.028505,
home,180,16.11-18.00,frankfurt,54.230.99.245,45,.032436,.030708,.029690,.030886,.028447,
home,181,16.11-19.00,frankfurt,54.230.99.16,52,.034555,.033822,.030219,.031293,.031237,
home,182,16.11-20.00,frankfurt,54.230.98.56,45,.026757,.030764,.070222,.028660,.029263,
home,183,16.11-21.00,frankfurt,54.230.99.98,16,.035504,.029172,.034754,.027442,.028643,
home,184,16.11-22.00,frankfurt,54.230.97.191,46,.040320,.030257,.034037,.032059,.030050,
home,185,16.11-23.00,frankfurt,54.230.98.127,42,.029300,.033663,.033390,.032139,.028892,
home,186,17.11-00.00,frankfurt,54.230.99.162,54,.035759,.056214,.028952,.030397,.030946,
home,187,17.11-01.00,frankfurt,54.230.99.50,43,.026354,.028466,.058082,.029140,.027107,
home,188,17.11-02.00,frankfurt,54.230.99.49,38,.027993,.065520,.027682,.030940,.038607,
home,189,17.11-03.00,frankfurt,54.230.98.130,49,.027300,.027664,.027450,.031404,.037381,
home,190,17.11-04.00,frankfurt,54.230.97.191,42,.028437,.027501,.027988,.029468,.031617,
home,191,17.11-05.00,frankfurt,54.230.99.196,47,.026659,.029352,.032160,.031597,.031334,
home,192,17.11-06.00,frankfurt,54.230.99.158,34,.028157,.030066,.027235,.027692,.028529,
home,193,17.11-07.00,frankfurt,54.230.99.162,43,.027710,.027104,.027851,.032160,.030793,
home,194,17.11-08.00,frankfurt,54.230.98.86,42,.027172,.026538,.029450,.028786,.038608,
home,195,17.11-09.00,frankfurt,54.230.97.191,45,.034401,.029570,.029105,.034868,.035287,
home,196,17.11-10.00,frankfurt,54.230.98.71,40,.000355,.027533,.035919,.030442,.027935,
home,197,17.11-11.00,frankfurt,54.230.99.64,39,.040246,.032704,.037169,.040817,.048604,
california,0,19.11-17.40,oregon,205.251.215.191,2.356,.002913,.002156,.002372,.001963,.002720,
california,1,19.11-18.40,oregon,54.230.140.235,3.041,,,,.002733,.003253,
california,2,19.11-19.40,oregon,54.239.132.83,0.775,.000610,.000681,.000646,.000646,.000668,
california,3,19.11-20.40,oregon,54.230.116.154,0.769,.000578,.000420,.000843,.000528,.000619,
california,4,19.11-21.40,oregon,54.192.118.240,0.814,,,,.000405,.000699,
california,5,19.11-22.40,oregon,54.230.116.204,0.760,.000740,.000652,.000618,.000605,.000546,
california,6,19.11-23.40,oregon,54.192.118.242,0.729,.000667,.000597,.000608,.000673,.000448,
california,7,20.11-00.40,oregon,54.230.117.21,0.824,.000503,.000754,.000688,.000748,.000642,
california,8,20.11-01.40,oregon,54.230.119.71,0.791,.000428,.000619,.000493,.000692,.000674,
california,9,20.11-02.40,oregon,54.230.116.204,0.791,,,,.000640,.000677,
california,10,20.11-03.40,oregon,54.230.117.21,0.774,.000499,.000531,.000647,.000596,.000654,
california,11,20.11-04.40,oregon,54.239.132.196,0.782,.000613,.000669,.000689,.000679,.000879,
california,12,20.11-05.40,oregon,54.230.118.187,0.718,.000472,.000713,.000621,.000562,.000699,
california,13,20.11-06.40,oregon,54.230.117.5,0.773,.000470,.000584,.000636,.000699,.000699,
california,14,20.11-07.40,oregon,54.192.118.233,0.738,.000641,.000456,.000735,.000697,.000678,
california,15,20.11-08.40,oregon,54.192.118.237,0.709,.000658,.000682,.000692,.000578,.000688,
california,16,20.11-09.40,oregon,54.192.118.218,0.706,.000891,,,.000414,.000706,
california,17,20.11-10.40,oregon,54.230.119.94,0.708,.000448,.000698,.000666,.000701,.000603,
california,18,20.11-11.40,oregon,54.230.117.69,0.766,.000637,.000711,.000643,.000675,.000643,
california,19,20.11-12.40,oregon,54.192.118.221,0.766,.000422,.000430,.000638,.000617,.000771,
california,20,20.11-13.40,oregon,54.230.119.12,0.771,.000624,.000681,.000656,.000706,.000600,
california,21,20.11-14.40,oregon,54.230.117.156,0.794,.000710,.000680,.000643,.000679,.000691,
california,22,19.11-17.40,california,54.230.143.62,2.205,.002225,.002227,.002144,.002820,.002643,
california,23,19.11-18.40,california,54.192.118.238,0.794,.000663,.000729,,.000709,.000610,
california,24,19.11-19.40,california,54.230.116.167,0.808,.000726,.000691,.000657,.000758,.000623,
california,25,19.11-20.40,california,54.192.118.236,0.737,.000685,.000674,.000687,.000645,.000655,
california,26,19.11-21.40,california,54.192.118.218,0.781,.000680,.000744,.000398,.000678,.000492,
california,27,19.11-22.40,california,54.230.117.15,0.896,.000436,.000633,.000666,.000738,.000633,
california,28,19.11-23.40,california,54.230.117.86,1.141,.000699,.000885,.000661,.000646,.000684,
california,29,20.11-00.40,california,54.230.116.98,0.843,.000719,.000662,.000688,.000434,.000689,
california,30,20.11-01.40,california,54.239.132.233,0.730,,.000704,.000665,.000443,.000583,
california,31,20.11-02.40,california,54.239.132.166,0.814,.000695,,,.000696,.000693,
california,32,20.11-03.40,california,54.230.117.69,0.750,.000629,.000693,.000366,.000718,.000699,
california,33,20.11-04.40,california,54.192.118.224,0.765,.000695,.000700,.000653,.000664,.000664,
california,34,20.11-05.40,california,54.230.118.248,0.779,.000654,.000417,.000442,.000723,.000449,
california,35,20.11-06.40,california,54.239.132.98,0.806,.000498,.000705,.000701,.000670,.000612,
california,36,20.11-07.40,california,54.230.119.110,0.878,.000647,.000467,.000436,.000459,.000623,
california,37,20.11-08.40,california,54.239.132.98,0.718,.000733,.000795,.000634,.000443,.000662,
california,38,20.11-09.40,california,54.192.118.218,0.706,.000656,.000692,.000780,.000689,.000628,
california,39,20.11-10.40,california,54.192.118.219,0.809,.000648,.000652,.000661,.000453,.000697,
california,40,20.11-11.40,california,54.192.118.236,0.832,.000585,.000693,.000669,.000570,.000687,
california,41,20.11-12.40,california,54.230.117.42,0.803,,,,.000475,.000450,
california,42,20.11-13.40,california,54.230.116.239,0.836,.000692,.000658,.000587,.000546,.000745,
california,43,20.11-14.40,california,54.192.118.239,0.779,.000700,.000406,.000437,.000441,.000436,
california,44,19.11-17.40,singapore,205.251.215.126,2.156,.002172,.001960,.002411,.002195,.002927,
california,45,19.11-18.40,singapore,54.230.119.165,0.703,.000673,.000772,.000677,,.000694,
california,46,19.11-19.40,singapore,54.230.116.128,1.351,.000643,.000698,.000634,.000639,.000679,
california,47,19.11-20.40,singapore,54.239.132.250,0.750,.000642,.000720,.000681,.000662,.000638,
california,48,19.11-21.40,singapore,54.230.119.66,0.751,.000906,.000679,.000710,.000711,.000654,
california,49,19.11-22.40,singapore,54.239.132.249,0.891,.000616,.000670,.000705,.000661,.000638,
california,50,19.11-23.40,singapore,54.230.119.91,0.787,.000610,.000619,.000631,.000431,.000635,
california,51,20.11-00.40,singapore,54.230.116.73,0.995,.000676,.000747,.000660,.000491,.000587,
california,52,20.11-01.40,singapore,54.192.118.241,0.797,.000733,,,.000626,.000709,
california,53,20.11-02.40,singapore,54.230.117.21,0.745,.000592,.001035,.000670,.000710,.000681,
california,54,20.11-03.40,singapore,54.192.118.222,0.808,.000689,.000729,.000659,.000902,.000431,
california,55,20.11-04.40,singapore,54.230.116.98,0.772,.000682,.000678,.000645,.000444,.000738,
california,56,20.11-05.40,singapore,54.239.132.173,0.794,.000673,.000695,.000421,.000700,.000449,
california,57,20.11-06.40,singapore,54.230.118.239,0.825,.000704,.000685,.000702,.000610,.000730,
california,58,20.11-07.40,singapore,54.230.117.42,0.837,.000662,.000666,.000737,.000671,.000535,
california,59,20.11-08.40,singapore,54.230.119.55,0.734,.000449,.000641,.000610,.000396,.000604,
california,60,20.11-09.40,singapore,54.230.119.91,0.871,.000636,.000589,.000699,.000685,.000668,
california,61,20.11-10.40,singapore,54.239.132.98,0.744,.000793,.000690,.000713,.000398,.000673,
california,62,20.11-11.40,singapore,54.239.132.55,0.704,,.000602,.000738,.000436,.000613,
california,63,20.11-12.40,singapore,54.239.132.173,0.864,.000684,.000691,.000692,.000645,.000726,
california,64,20.11-13.40,singapore,54.239.132.84,0.813,.000687,.000596,.000538,.000500,.000702,
california,65,20.11-14.40,singapore,54.192.118.239,0.766,.000703,.000634,.000690,.000703,.000369,
