[Measurement for 100kb at 18:05:22 16.05.2014] 
Tshark:

112   1.382155  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=86515 Win=65792 Len=0
113   1.382235 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
114   1.382285 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
115   1.382315  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=89315 Win=65792 Len=0
116   1.382394 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
117   1.382428 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
118   1.382458  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=92115 Win=65792 Len=0
119   1.390799 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
120   1.391795 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
121   1.391859  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=94915 Win=65792 Len=0
122   1.393194 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
123   1.393243 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
124   1.393283  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=97715 Win=65792 Len=0
125   1.393373 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
126   1.393407 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
127   1.393438  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=100515 Win=65792 Len=0
128   1.393520 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
129   1.394646 54.230.98.130 -> 192.168.1.2  HTTP 996 HTTP/1.1 200 OK  (application/octet-stream)
130   1.394704  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=102857 Win=65792 Len=0
131   1.395006  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [FIN, ACK] Seq=99 Ack=102857 Win=65792 Len=0
132   1.423842 54.230.98.130 -> 192.168.1.2  TCP 54 80→63786 [FIN, ACK] Seq=102857 Ack=100 Win=14720 Len=0
133   1.423993  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=100 Ack=102858 Win=65792 Len=0
134   1.457578 54.243.222.44 -> 192.168.1.2  TLSv1.2 85 Encrypted Alert
135   1.458684 54.243.222.44 -> 192.168.1.2  TCP 54 443→63776 [FIN, ACK] Seq=32 Ack=1 Win=80 Len=0
136   1.458741  192.168.1.2 -> 54.243.222.44 TCP 54 63776→443 [ACK] Seq=1 Ack=33 Win=253 Len=0
137   2.472042 54.243.222.44 -> 192.168.1.2  TLSv1.2 85 Encrypted Alert
