[Measurement for 1mb at 13:38:46 16.38.2014] 
Ping request could not find host d17xdwadnyh5jz.cloudfront.net. Please check the name and try again.

Tshark:

  1   0.000000 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 DNS 98 Standard query 0x11b2  A graph.facebook.com
  2   0.038552 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 DNS 156 Standard query response 0x11b2  CNAME api.facebook.com CNAME star.c10r.facebook.com A 31.13.64.97
121   0.791903  192.168.1.2 -> 31.13.64.97  TCP 54 61553→443 [ACK] Seq=3520 Ack=4145 Win=1724 Len=0
122   0.801571   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
123   0.801573   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
124   0.801574   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
125   0.801575   82.96.58.7 -> 192.168.1.2  TLSv1.2 559 Application Data
126   0.801576   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
127   0.801576   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
128   0.801577   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
129   0.801578   82.96.58.7 -> 192.168.1.2  TLSv1.2 223 Application Data
130   0.801578   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
131   0.801579   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
132   0.801677  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=100715 Win=257 Len=0
133   0.801826   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
134   0.801827   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
135   0.801828   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
136   0.801829   82.96.58.7 -> 192.168.1.2  TLSv1.2 319 Application Data
137   0.801830   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
138   0.801831   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
139   0.801832   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
140   0.801835   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
141   0.801836   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
142   0.801837   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
143   0.801878  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=113580 Win=257 Len=0
144   0.802007   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
145   0.802008   82.96.58.7 -> 192.168.1.2  TLSv1.2 415 Application Data
146   0.802009   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
147   0.802037  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=116741 Win=257 Len=0
148   0.808939  31.13.64.97 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
149   0.809086  31.13.64.97 -> 192.168.1.2  TLSv1.2 115 Application Data
150   0.809087  31.13.64.97 -> 192.168.1.2  TLSv1.2 101 Application Data
151   0.809153  192.168.1.2 -> 31.13.64.97  TCP 54 61553→443 [ACK] Seq=3520 Ack=5653 Win=1718 Len=0
152   0.837868   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
153   0.838792   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
