[Measurement for 100kb at 18:05:58 16.05.2014] 
Tshark:

103   0.480601  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=89327 Win=65792 Len=0
104   0.482700 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
105   0.482743 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
106   0.482779  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=92127 Win=65792 Len=0
107   0.482871 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
108   0.482926 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
109   0.482974  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=94927 Win=65792 Len=0
110   0.483092 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
111   0.483127 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
112   0.483197  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=97727 Win=65792 Len=0
113   0.483308 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
114   0.483343 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
115   0.483384  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=100527 Win=65792 Len=0
116   0.483468 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
117   0.483519 54.230.98.94 -> 192.168.1.2  HTTP 984 HTTP/1.1 200 OK  (application/octet-stream)
118   0.483548  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=102857 Win=65792 Len=0
119   0.483672  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [FIN, ACK] Seq=98 Ack=102857 Win=65792 Len=0
120   0.511449 54.230.98.94 -> 192.168.1.2  TCP 54 80→63794 [FIN, ACK] Seq=102857 Ack=99 Win=14720 Len=0
121   0.511590  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=99 Ack=102858 Win=65792 Len=0
122   0.550725  192.168.1.2 -> 64.233.164.125 TCP 76 [TCP segment of a reassembled PDU]
123   0.583497 64.233.164.125 -> 192.168.1.2  TCP 54 5222→63047 [ACK] Seq=1 Ack=23 Win=667 Len=0
124   1.884224 54.231.14.72 -> 192.168.1.2  TLSv1.2 107 Encrypted Alert
125   1.933937  192.168.1.2 -> 54.231.14.72 TCP 54 63792→443 [ACK] Seq=1 Ack=54 Win=255 Len=0
126   2.184816  192.168.1.2 -> 74.125.232.206 TCP 1454 [TCP segment of a reassembled PDU]
